0,0.52342,277.91,0.183,-0.009,0.201,-0.00929
4,0.62269,236.36,0.218,-0.00796,0.224,-0.0108
3,0.59212,306.43,0.229,-0.0164,0.243,-0.0138
12,0.82339,192.85,0.251,-0.0194,0.273,-0.0148
5,0.63052,347.82,0.265,-0.0275,0.277,-0.0253
7,0.69896,280.62,0.264,-0.022,0.281,-0.0157
8,0.72323,296.71,0.275,-0.022,0.305,-0.0224
15,0.88084,230.57,0.292,-0.0223,0.312,-0.0207
9,0.74404,323.84,0.309,-0.0272,0.32,-0.0252
19,0.99683,204.22,0.302,-0.0223,0.33,-0.0212
23,1.088,208.17,0.318,-0.0263,0.333,-0.0233
21,1.0265,217.32,0.314,-0.0275,0.333,-0.0261
17,0.93817,247.52,0.323,-0.0229,0.343,-0.0244
10,0.76039,252.34,0.323,-0.023,0.343,-0.0243
39,1.4791,187.57,0.35,-0.0331,0.359,-0.0337
22,1.0559,255.69,0.356,-0.0342,0.361,-0.031
2,0.56284,222.19,0.356,-0.0333,0.362,-0.0314
14,0.87005,325.16,0.35,-0.0376,0.364,-0.0351
16,0.91773,313.0,0.358,-0.0379,0.374,-0.0331
80,0.78909,400.08,0.366,-0.0405,0.377,-0.035
27,1.1969,244.46,0.365,-0.0387,0.383,-0.0354
26,1.161,289.48,0.401,-0.0443,0.419,-0.0411
31,1.2965,264.39,0.401,-0.0449,0.421,-0.037
18,0.95644,367.1,0.4,-0.0439,0.422,-0.0394
42,1.0698,330.47,0.406,-0.0461,0.428,-0.0401
34,1.3536,268.61,0.412,-0.0499,0.431,-0.0441
40,1.0056,375.09,0.419,-0.0521,0.432,-0.0489
45,1.1489,314.28,0.41,-0.0457,0.439,-0.0451
20,1.0238,370.91,0.425,-0.0542,0.444,-0.0504
82,0.96887,408.13,0.441,-0.0524,0.445,-0.0491
44,1.1009,351.7,0.433,-0.0536,0.452,-0.0467
38,1.468,273.83,0.425,-0.0512,0.455,-0.0485
52,1.3056,308.0,0.443,-0.0504,0.458,-0.0507
25,1.13,364.19,0.442,-0.055,0.467,-0.0529
47,1.1829,358.27,0.455,-0.0571,0.475,-0.0561
46,1.1524,368.95,0.456,-0.059,0.484,-0.0542
30,1.2649,350.04,0.47,-0.0591,0.489,-0.0577
59,1.4913,312.15,0.472,-0.062,0.49,-0.0583
36,1.4091,330.26,0.469,-0.0608,0.493,-0.0577
33,1.3449,358.64,0.489,-0.0624,0.499,-0.0616
37,1.4313,340.13,0.48,-0.0649,0.5,-0.0619
35,1.3984,337.56,0.478,-0.0613,0.501,-0.0574
63,1.5874,316.41,0.475,-0.0645,0.505,-0.0618
48,1.2185,394.71,0.488,-0.0621,0.507,-0.0576
49,1.2327,395.43,0.493,-0.0674,0.51,-0.0624
83,1.1777,433.74,0.498,-0.0723,0.513,-0.0655
70,1.7558,302.17,0.484,-0.0674,0.515,-0.0616
65,1.6268,320.37,0.491,-0.0643,0.515,-0.0634
58,1.464,345.84,0.499,-0.0696,0.518,-0.0626
73,1.8264,307.41,0.496,-0.0696,0.519,-0.0628
56,1.4239,354.82,0.494,-0.0682,0.52,-0.0643
68,1.7109,329.3,0.509,-0.072,0.528,-0.0653
53,1.329,391.53,0.511,-0.0744,0.532,-0.0686
55,1.3911,384.13,0.51,-0.0713,0.534,-0.069
75,1.8971,335.08,0.529,-0.076,0.549,-0.0731
71,1.7828,344.21,0.531,-0.0783,0.552,-0.0743
84,1.3779,418.28,0.528,-0.082,0.556,-0.072
67,1.6763,360.66,0.537,-0.0771,0.561,-0.0732
62,1.5525,387.55,0.546,-0.0781,0.564,-0.076
61,1.5367,399.64,0.549,-0.0785,0.572,-0.0755
85,1.4601,429.53,0.558,-0.0849,0.58,-0.0796
78,1.962,362.72,0.561,-0.0866,0.584,-0.0809
74,1.859,379.54,0.569,-0.0856,0.587,-0.0831
77,1.9381,381.54,0.577,-0.0939,0.607,-0.0892
88,1.8985,411.82,0.595,-0.0966,0.621,-0.0882
86,1.6588,435.39,0.598,-0.0945,0.625,-0.0868
