0.52342,277.91,0.183,-0.009,0.201,-0.00929
0.53718,198.91,0.162,-6.68e-5,0.179,-6.56e-4
0.56284,222.19,0.356,-0.0333,0.362,-0.0314
0.59212,306.43,0.229,-0.0164,0.243,-0.0138
0.62269,236.36,0.218,-0.00796,0.224,-0.0108
0.63052,347.82,0.265,-0.0275,0.277,-0.0253
0.6588,319.7,0.36,-0.0381,0.374,-0.0331
0.69896,280.62,0.264,-0.022,0.281,-0.0157
0.72323,296.71,0.275,-0.022,0.305,-0.0224
0.74404,323.84,0.309,-0.0272,0.32,-0.0252
0.76039,252.34,0.323,-0.023,0.343,-0.0243
0.78788,301.26,0.308,-0.0326,0.328,-0.0266
0.82339,192.85,0.251,-0.0194,0.273,-0.0148
0.84023,212.17,0.278,-0.0207,0.292,-0.0133
0.87005,325.16,0.35,-0.0376,0.364,-0.0351
0.88084,230.57,0.292,-0.0223,0.312,-0.0207
0.91773,313,0.358,-0.0379,0.374,-0.0331
0.93817,247.52,0.323,-0.0229,0.343,-0.0244
0.95644,367.1,0.4,-0.0439,0.422,-0.0394
0.99683,204.22,0.302,-0.0223,0.33,-0.0212
1.0238,370.91,0.425,-0.0542,0.444,-0.0504
1.0265,217.32,0.314,-0.0275,0.333,-0.0261
1.0559,255.69,0.356,-0.0342,0.361,-0.031
1.088,208.17,0.318,-0.0263,0.333,-0.0233
1.1075,229.64,0.337,-0.0347,0.359,-0.0223
1.13,364.19,0.442,-0.055,0.467,-0.0529
1.161,289.48,0.401,-0.0443,0.419,-0.0411
1.1969,244.46,0.365,-0.0387,0.383,-0.0354
1.2061,184.12,0.321,-0.0303,0.338,-0.0215
1.2265,379.19,0.478,-0.0625,0.505,-0.0587
1.2649,350.04,0.47,-0.0591,0.489,-0.0577
1.2965,264.39,0.401,-0.0449,0.421,-0.037
1.3198,292.68,0.431,-0.0519,0.446,-0.0475
1.3449,358.64,0.489,-0.0624,0.499,-0.0616
1.3536,268.61,0.412,-0.0499,0.431,-0.0441
1.3984,337.56,0.478,-0.0613,0.501,-0.0574
1.4091,330.26,0.469,-0.0608,0.493,-0.0577
1.4313,340.13,0.48,-0.0649,0.5,-0.0619
1.468,273.83,0.425,-0.0512,0.455,-0.0485
1.4791,187.57,0.35,-0.0331,0.359,-0.0337
1.0056,375.09,0.419,-0.0521,0.432,-0.0489
1.0268,319.37,0.39,-0.0437,0.418,-0.0371
1.0698,330.47,0.406,-0.0461,0.428,-0.0401
1.094,339.57,0.417,-0.0517,0.437,-0.0485
1.1009,351.7,0.433,-0.0536,0.452,-0.0467
1.1489,314.28,0.41,-0.0457,0.439,-0.0451
1.1524,368.95,0.456,-0.059,0.484,-0.0542
1.1829,358.27,0.455,-0.0571,0.475,-0.0561
1.2185,394.71,0.488,-0.0621,0.507,-0.0576
1.2327,395.43,0.493,-0.0674,0.51,-0.0624
1.2565,367.14,0.473,-0.0614,0.497,-0.0616
1.2857,327.16,0.448,-0.0536,0.467,-0.0547
1.3056,308,0.443,-0.0504,0.458,-0.0507
1.329,391.53,0.511,-0.0744,0.532,-0.0686
1.3737,374.56,0.508,-0.0679,0.528,-0.063
1.3911,384.13,0.51,-0.0713,0.534,-0.069
1.4239,354.82,0.494,-0.0682,0.52,-0.0643
1.4323,324.08,0.469,-0.06,0.489,-0.0564
1.464,345.84,0.499,-0.0696,0.518,-0.0626
1.4913,312.15,0.472,-0.062,0.49,-0.0583
1.5217,355.81,0.513,-0.073,0.54,-0.0658
1.5367,399.64,0.549,-0.0785,0.572,-0.0755
1.5525,387.55,0.546,-0.0781,0.564,-0.076
1.5874,316.41,0.475,-0.0645,0.505,-0.0618
1.6023,333.71,0.503,-0.0687,0.518,-0.0645
1.6268,320.37,0.491,-0.0643,0.515,-0.0634
1.6707,372.13,0.542,-0.0823,0.575,-0.0745
1.6763,360.66,0.537,-0.0771,0.561,-0.0732
1.7109,329.3,0.509,-0.072,0.528,-0.0653
1.7335,303.75,0.49,-0.0662,0.51,-0.0627
1.7558,302.17,0.484,-0.0674,0.515,-0.0616
1.7828,344.21,0.531,-0.0783,0.552,-0.0743
1.8032,385.4,0.577,-0.0856,0.597,-0.0832
1.8264,307.41,0.496,-0.0696,0.519,-0.0628
1.859,379.54,0.569,-0.0856,0.587,-0.0831
1.8971,335.08,0.529,-0.076,0.549,-0.0731
1.9117,340.84,0.53,-0.082,0.559,-0.0754
1.9381,381.54,0.577,-0.0939,0.607,-0.0892
1.962,362.72,0.561,-0.0866,0.584,-0.0809
5.3207e-01,4.4387e+02,0.244e+00,-0.281e-01,0.252e+00,-0.261e-01
7.8909e-01,4.0008e+02,0.366e+00,-0.405e-01,0.377e+00,-0.350e-01
8.8273e-01,4.2080e+02,0.405e+00,-0.556e-01,0.425e+00,-0.466e-01
9.6887e-01,4.0813e+02,0.441e+00,-0.524e-01,0.445e+00,-0.491e-01
1.1777e+00,4.3374e+02,0.498e+00,-0.723e-01,0.513e+00,-0.655e-01
1.3779e+00,4.1828e+02,0.528e+00,-0.820e-01,0.556e+00,-0.720e-01
1.4601e+00,4.2953e+02,0.558e+00,-0.849e-01,0.580e+00,-0.796e-01
1.6588e+00,4.3539e+02,0.598e+00,-0.945e-01,0.625e+00,-0.868e-01
1.7898e+00,4.4535e+02,0.616e+00,-0.976e-01,0.632e+00,-0.920e-01
1.8985e+00,4.1182e+02,0.595e+00,-0.966e-01,0.621e+00,-0.882e-01
