1,0.53718,198.91,0.162,-6.68e-05,0.179,-0.000656
79,0.53207,443.87,0.244,-0.0281,0.252,-0.0261
13,0.84023,212.17,0.278,-0.0207,0.292,-0.0133
11,0.78788,301.26,0.308,-0.0326,0.328,-0.0266
28,1.2061,184.12,0.321,-0.0303,0.338,-0.0215
24,1.1075,229.64,0.337,-0.0347,0.359,-0.0223
6,0.6588,319.7,0.36,-0.0381,0.374,-0.0331
41,1.0268,319.37,0.39,-0.0437,0.418,-0.0371
81,0.88273,420.8,0.405,-0.0556,0.425,-0.0466
43,1.094,339.57,0.417,-0.0517,0.437,-0.0485
32,1.3198,292.68,0.431,-0.0519,0.446,-0.0475
51,1.2857,327.16,0.448,-0.0536,0.467,-0.0547
57,1.4323,324.08,0.469,-0.06,0.489,-0.0564
50,1.2565,367.14,0.473,-0.0614,0.497,-0.0616
29,1.2265,379.19,0.478,-0.0625,0.505,-0.0587
69,1.7335,303.75,0.49,-0.0662,0.51,-0.0627
64,1.6023,333.71,0.503,-0.0687,0.518,-0.0645
54,1.3737,374.56,0.508,-0.0679,0.528,-0.063
60,1.5217,355.81,0.513,-0.073,0.54,-0.0658
76,1.9117,340.84,0.53,-0.082,0.559,-0.0754
66,1.6707,372.13,0.542,-0.0823,0.575,-0.0745
72,1.8032,385.4,0.577,-0.0856,0.597,-0.0832
87,1.7898,445.35,0.616,-0.0976,0.632,-0.092
